word,chinese,length,ipa,syllables,stress,prefix_tag,suffix_tag,rhyme_group,semantic_tag,antonym,minimal_pairs,example,memory_hint,audio_url,introduced_day,last_review,strength,notes
i,我,1,ˈaɪ,1,,,,,,,,,,,,,,
do,做,2,dˈu,1,,,,,,,,,,,,,,
go,去,2,gˈoʊ,1,,,,,,,,,,,,,,
he,他,2,hˈi,1,,,,,,,,,,,,,,
if,如果,2,ˈɪf,1,,,,,,,,,,,,,,
in,在……內,2,ɪn,1,,in-,,,,,,,,,,,,
it,它,2,ˈɪt,1,,,,,,,,,,,,,,
me,我（受格）,2,mˈi,1,,,,,,,,,,,,,,
my,我的（所有格）,2,mˈaɪ,1,,,,,,,,,,,,,,
no,不,2,nˈoʊ,1,,,,,,,,,,,,,,
of,……的,2,ˈʌv,1,,,,,,,,,,,,,,
on,在……上面,2,ˈɑn,1,,,,,,,,,,,,,,
or,或,2,ˈɔr,1,,,,,,,,,,,,,,
so,這麼；多麼；因此,2,sˈoʊ,1,,,,,,,,,,,,,,
to,向；往；到；對……；按……；為了,2,tˈu,1,,,,,,,,,,,,,,
up,往上,2,ˈʌp,1,,,,,,,,,,,,,,
us,我們（受格）,2,ˈʌs,1,,,,,,,,,,,,,,
we,我們,2,wˈi,1,,,,,,,,,,,,,,
and,和；及,3,ʌnd,1,,,,,,,,,,,,,,
any,任何的,3,ˈɛni,2,,,,,,,,,,,,,,
arm,手臂,3,ˈɑrm,1,,,,,,,,,,,,,,
big,大的,3,bˈɪg,1,,,,,,,,,,,,,,
bit,一點；碎片,3,bˈɪt,1,,,,,,,,,,,,,,
box,盒子,3,bˈɑks,1,,,,,,,,,,,,,,
boy,男孩,3,bˈɔɪ,1,,,,,,,,,,,,,,
cow,母牛,3,kˈaʊ,1,,,,,,,,,,,,,,
cry,哭；喊,3,krˈaɪ,1,,,,,,,,,,,,,,
cup,杯子,3,kˈʌp,1,,,,,,,,,,,,,,
cut,切開,3,kˈʌt,1,,,,,,,,,,,,,,
day,日；白天,3,dˈeɪ,1,,,,,,,,,,,,,,
die,死,3,dˈaɪ,1,,,,,,,,,,,,,,
dig,挖掘,3,dˈɪg,1,,,,,,,,,,,,,,
dog,狗,3,dˈɔg,1,,,,,,,,,,,,,,
dry,乾燥的,3,drˈaɪ,1,,,,,,,,,,,,,,
ear,耳朵,3,ˈir,1,,,,,,,,,,,,,,
eat,吃,3,ˈit,1,,,,,,,,,,,,,,
egg,蛋,3,ˈɛg,1,,,,,,,,,,,,,,
end,結束,3,ˈɛnd,1,,,,,,,,,,,,,,
eye,眼睛,3,ˈaɪ,1,,,,,,,,,,,,,,
far,遙遠的,3,fˈɑr,1,,,,,,,,,,,,,,
fat,肥胖的,3,fˈæt,1,,,,,,,,,,,,,,
few,少數的,3,fjˈu,1,,,,,,,,,,,,,,
fit,適合；健康的,3,fˈɪt,1,,,,,,,,,,,,,,
fix,修理,3,fˈɪks,1,,,,,,,,,,,,,,
fly,飛；蒼蠅,3,flˈaɪ,1,,,-ly,,,,,,,,,,,
fog,霧,3,fˈɑg,1,,,,,,,,,,,,,,
for,為了；因為；在……方面,3,fˈɔr,1,,,,,,,,,,,,,,
fun,樂趣；好玩的,3,fˈʌn,1,,,,,,,,,,,,,,
gas,瓦斯,3,gˈæs,1,,,,,,,,,,,,,,
get,取得,3,gˈɛt,1,,,,,,,,,,,,,,
god,神,3,gˈɑd,1,,,,,,,,,,,,,,
gun,槍,3,gˈʌn,1,,,,,,,,,,,,,,
guy,男人；傢伙,3,gˈaɪ,1,,,,,,,,,,,,,,
hat,帽子,3,hˈæt,1,,,,,,,,,,,,,,
her,她的（所有格）,3,hˈɝ,1,,,-er,,,,,,,,,,,
him,他（受格）,3,hˈɪm,1,,,,,,,,,,,,,,
his,他的（所有格）,3,hˈɪz,1,,,,,,,,,,,,,,
hit,打；擊,3,hˈɪt,1,,,,,,,,,,,,,,
hot,熱的,3,hˈɑt,1,,,,,,,,,,,,,,
how,如何,3,hˈaʊ,1,,,,,,,,,,,,,,
ice,冰,3,ˈaɪs,1,,,,,,,,,,,,,,
ill,生病的,3,ˈɪl,1,,,,,,,,,,,,,,
job,工作,3,dʒˈɑb,1,,,,,,,,,,,,,,
joy,喜悅,3,dʒˈɔɪ,1,,,,,,,,,,,,,,
key,鑰匙；關鍵的,3,kˈi,1,,,,,,,,,,,,,,
kid,孩子,3,kˈɪd,1,,,,,,,,,,,,,,
kit,成套的工具,3,kˈɪt,1,,,,,,,,,,,,,,
law,法律,3,lˈɔ,1,,,,,,,,,,,,,,
lay,放；產卵,3,lˈeɪ,1,,,,,,,,,,,,,,
leg,腿,3,lˈɛg,1,,,,,,,,,,,,,,
let,允許；讓；出租,3,lˈɛt,1,,,,,,,,,,,,,,
lie,說謊；謊言,3,lˈaɪ,1,,,,,,,,,,,,,,
lie,躺下,3,lˈaɪ,1,,,,,,,,,,,,,,
lip,嘴唇,3,lˈɪp,1,,,,,,,,,,,,,,
log,原木；伐木；記錄,3,lˈɔg,1,,,,,,,,,,,,,,
lot,很多；一塊地,3,lˈɑt,1,,,,,,,,,,,,,,
low,低的,3,lˈoʊ,1,,,,,,,,,,,,,,
man,男人,3,mˈæn,1,,,,,,,,,,,,,,
map,地圖,3,mˈæp,1,,,,,,,,,,,,,,
may,或許；能夠,3,mˈeɪ,1,,,,,,,,,,,,,,
mix,混合,3,mˈɪks,1,,,,,,,,,,,,,,
mob,暴民,3,mˈɑb,1,,,,,,,,,,,,,,
new,新的,3,nˈu,1,,,,,,,,,,,,,,
not,不,3,nˈɑt,1,,,,,,,,,,,,,,
now,現在,3,nˈaʊ,1,,,,,,,,,,,,,,
off,（離）開；（食品）變壞,3,ˈɔf,1,,,,,,,,,,,,,,
oil,油,3,ˈɔɪl,1,,,,,,,,,,,,,,
old,老的,3,ˈoʊld,1,,,,,,,,,,,,,,
our,我們的（所有格）,3,ˈaʊɝ,2,,,,,,,,,,,,,,
out,出外,3,ˈaʊt,1,,,,,,,,,,,,,,
owe,欠（債）；歸功於,3,ˈoʊ,1,,,,,,,,,,,,,,
own,自己的；擁有,3,ˈoʊn,1,,,,,,,,,,,,,,
pan,平底鍋,3,pˈæn,1,,,,,,,,,,,,,,
pay,付款給；給予（注意）,3,pˈeɪ,1,,,,,,,,,,,,,,
pen,筆,3,pˈɛn,1,,,,,,,,,,,,,,
pig,豬,3,pˈɪg,1,,,,,,,,,,,,,,
put,放,3,pˈʊt,1,,,,,,,,,,,,,,
ray,光線；射線,3,rˈeɪ,1,,,,,,,,,,,,,,
red,紅色的,3,rˈɛd,1,,re-,-ed,,,,,,,,,,,
rob,搶劫；非法剝奪,3,rˈɑb,1,,,,,,,,,,,,,,
row,（一）列；（一）排；吵架；划（船）,3,,,,,,,,,,,,,,,,
rub,摩擦,3,,,,,,,,,,,,,,,,
run,跑；奔；運轉,3,,,,,,,,,,,,,,,,
sad,難過的,3,,,,,,,,,,,,,,,,
say,說,3,,,,,,,,,,,,,,,,
sea,海洋,3,,,,,,,,,,,,,,,,
see,看見,3,,,,,,,,,,,,,,,,
set,放；置；規定；凝固；一套,3,,,,,,,,,,,,,,,,
sex,性,3,,,,,,,,,,,,,,,,
she,她,3,,,,,,,,,,,,,,,,
sit,坐,3,,,,,,,,,,,,,,,,
sky,天空,3,,,,,,,,,,,,,,,,
son,兒子,3,,,,,,,,,,,,,,,,
spy,間諜,3,,,,,,,,,,,,,,,,
sun,太陽,3,,,,,,,,,,,,,,,,
tax,稅,3,,,,,,,,,,,,,,,,
tea,茶,3,,,,,,,,,,,,,,,,
the,這；那（定冠詞）,3,,,,,,,,,,,,,,,,
tie,領帶；綁,3,,,,,,,,,,,,,,,,
tin,錫；罐頭,3,,,,,,,,,,,,,,,,
too,也；太,3,,,,,,,,,,,,,,,,
top,頂點；最上面,3,,,,,,,,,,,,,,,,
try,嘗試,3,,,,,,,,,,,,,,,,
use,使用,3,,,,,,,,,,,,,,,,
war,戰爭,3,,,,,,,,,,,,,,,,
